fileName,dateTaken,latitude,longitude
186ce32d-f307-42ca-b20b-6fbd568320fd.jpg,2025-05-20T17:10:21-07:00,34.309061111111106,-117.47048055555555
4230D44F-BBD5-406E-81D2-90E69EAB5C0E.jpg,2025-05-20T22:19:05.959-07:00,34.30600833333333,-117.4662
IMG_0142.jpg,2025-04-27T07:31:22.705-07:00,32.589730555555555,-116.46695833333334
IMG_0143.jpg,2025-04-27T07:31:24.262-07:00,32.589730555555555,-116.46695833333334
IMG_0144.jpg,2025-04-27T07:31:59.507-07:00,32.589713888888895,-116.46697222222222
IMG_0145.jpg,2025-04-27T07:32:01.23-07:00,32.589713888888895,-116.46697222222222
IMG_0146.jpg,2025-04-27T07:32:09.025-07:00,32.589725,-116.46698888888889
IMG_0147.jpg,2025-04-27T07:32:10.228-07:00,32.58971666666667,-116.46698888888889
IMG_0148.jpg,2025-04-27T07:32:14.333-07:00,32.58972222222222,-116.46698055555555
IMG_0149.jpg,2025-04-27T08:13:11.338-07:00,32.600875,-116.47040555555556
IMG_0150.jpg,2025-04-27T08:13:14.298-07:00,32.60086944444445,-116.47039722222222
IMG_0151.jpg,2025-04-27T09:19:03.292-07:00,32.607147222222224,-116.49924444444444
IMG_0152.jpg,2025-04-27T09:19:03.524-07:00,32.60723055555556,-116.49921388888889
IMG_0153.jpg,2025-04-27T09:19:04.523-07:00,32.60715833333334,-116.49921388888889
IMG_0154.jpg,2025-04-27T09:19:10.357-07:00,32.607086111111116,-116.4992
IMG_0155.jpg,2025-04-27T09:19:12.423-07:00,32.607086111111116,-116.49919166666666
IMG_0156.jpg,2025-04-27T16:55:31.812-07:00,32.677699999999994,-116.519775
IMG_0157.jpg,2025-04-27T16:55:32.202-07:00,32.67769722222222,-116.51976666666667
IMG_0161.jpg,2025-04-28T19:37:42.711-07:00,32.81790277777778,-116.41478055555557
IMG_0162.jpg,2025-04-28T19:37:43.331-07:00,32.817886111111115,-116.41475555555556
IMG_0164.jpg,2025-04-28T19:37:52.756-07:00,32.81790555555556,-116.41465833333334
IMG_0169.jpg,2025-04-29T10:08:16.013-07:00,32.86203888888889,-116.42005277777778
IMG_0170.jpg,2025-05-01T06:07:01.745-07:00,33.06620833333333,-116.48226944444444
IMG_0171.jpg,2025-05-01T06:07:07.482-07:00,33.06621111111111,-116.48228333333334
IMG_0173.jpg,2025-05-01T06:07:14.949-07:00,33.06622222222222,-116.48229166666667
IMG_0175.jpg,2025-05-01T19:50:51.808-07:00,33.079013888888895,-116.60327222222222
IMG_0176.jpg,2025-05-02T08:41:24.098-07:00,33.078158333333334,-116.60214166666665
IMG_0178.jpg,2025-05-02T08:41:51.257-07:00,33.07810555555556,-116.60213333333333
